"MessageID","Waktu","Magnitudo","Kedalaman","Lintang","Bujur","Lokasi","Dirasakan","RawText","EventID"
"1","01-Jan-26 03:01:09","2.4","55","5.05","94.94","77 km Barat JANTHO-ACEHBESAR","","Info Gempa Mag:2.4, 1-Jan-26 03:01:09 WIB, Lok: 5.05 LU - 94.94 BT (77 km Barat JANTHO-ACEHBESAR), Kedlmn: 55 km ::BMKG","-"
"2","01-Jan-26 03:31:47","2.3","29","3.06","97.16","28 km Selatan KAB-ACEHSELATAN","","Info Gempa Mag:2.3, 01-Jan-26 03:31:47 WIB, Lok: 3.06 LU - 97.16 BT (28 km Selatan KAB-ACEHSELATAN), Kedlmn: 29 km ::BMKG","-"
"3","01-Jan-26 04:03:13","2.3","115","3.99","97.56","24 km Timur KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.3, 1-Jan-26 04:03:13 WIB, Lok: 3.99 LU - 97.56 BT (24 km Timur KAB-GAYOLUES-ACEH), Kedlmn: 115 km ::BMKG","-"
"4","01-Jan-26 06:40:38","1.9","5","4.75","96.76","11 km Barat KAB-BENERMERIAH-ACEH","","Info Gempa Mag:1.9, 1-Jan-26 06:40:38 WIB, Lok: 4.75 LU - 96.76 BT (11 km Barat KAB-BENERMERIAH-ACEH), Kedlmn: 005 km ::BMKG","-"
"5","01-Jan-26 11:58:43","2.9","48","4.54","95.46","18 km Barat Daya CALANG-ACEHJAYA","","Info Gempa Mag:2.9, 1-Jan-26 11:58:43 WIB, Lok: 4.54 LU - 95.46 BT (18 km Barat Daya CALANG-ACEHJAYA), Kedlmn: 48 km ::BMKG","-"
"6","01-Jan-26 20:10:08","1.7","113","3.66","97.6","30 km Barat Laut KUTACANE-ACEHTENGGARA","","Info Gempa Mag:1.7, 1-Jan-26 20:10:08 WIB, Lok: 3.66 LU - 97.60 BT (30 km Barat Laut KUTACANE-ACEHTENGGARA), Kedlmn: 113 km ::BMKG","-"
"7","02-Jan-26 03:53:36","2.8","3","4.11","97.44","17 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.8, 2-Jan-26 03:53:36 WIB, Lok: 4.11 LU - 97.44 BT (17 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 003 km ::BMKG","-"
"8","02-Jan-26 12:40:34","3.3","10","4.19","97.48","27 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:3.3, 2-Jan-26 12:40:34 WIB, Lok: 4.19 LU - 97.48 BT (27 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 10 km ::BMKG","-"
"9","02-Jan-26 16:31:28","2.7","22","4.57","94.96","69 km Barat CALANG-ACEHJAYA","","Info Gempa Mag:2.7, 2-Jan-26 16:31:28 WIB, Lok: 4.57 LU - 94.96 BT (69 km Barat CALANG-ACEHJAYA), Kedlmn: 22 km ::BMKG","-"
"10","03-Jan-26 09:47:34","2.5","3","3.21","97.83","31 km Selatan KUTACANE-ACEHTENGGARA","","Info Gempa Mag:2.5, 3-Jan-26 09:47:34 WIB, Lok: 3.21 LU - 97.83 BT (31 km Selatan KUTACANE-ACEHTENGGARA), Kedlmn: 003 km ::BMKG","-"
"11","03-Jan-26 09:48:02","1.9","3","3.19","97.84","33 km Selatan KUTACANE-ACEHTENGGARA","","Info Gempa Mag:1.9, 3-Jan-26 09:48:02 WIB, Lok: 3.19 LU - 97.84 BT (33 km Selatan KUTACANE-ACEHTENGGARA), Kedlmn: 003 km ::BMKG","-"
"12","03-Jan-26 13:54:23","2.5","5","5.4","95.74","23 km Timur Laut JANTHO-ACEHBESAR","","Info Gempa Mag:2.5, 3-Jan-26 13:54:23 WIB, Lok: 5.40 LU - 95.74 BT (23 km Timur Laut JANTHO-ACEHBESAR), Kedlmn: 005 km ::BMKG","-"
"13","04-Jan-26 01:21:39","1.4","3","3.17","97.84","35 km Selatan KUTACANE-ACEHTENGGARA","","Info Gempa Mag:1.4, 4-Jan-26 01:21:39 WIB, Lok: 3.17 LU - 97.84 BT (35 km Selatan KUTACANE-ACEHTENGGARA), Kedlmn: 003 km ::BMKG","-"
"14","04-Jan-26 03:54:48","2.8","6","4.75","96.81","6 km Barat KAB-BENERMERIAH-ACEH","","Info Gempa Mag:2.8, 4-Jan-26 03:54:48 WIB, Lok: 4.75 LU - 96.81 BT (6 km Barat KAB-BENERMERIAH-ACEH), Kedlmn: 6 km ::BMKG","-"
"15","04-Jan-26 06:58:49","3.4","64","2.54","97.99","13 km Selatan KOTA-SUBULUSSALAM-ACEH","","Info Gempa Mag:3.4, 4-Jan-26 06:58:49 WIB, Lok: 2.54 LU - 97.99 BT (13 km Selatan KOTA-SUBULUSSALAM-ACEH), Kedlmn: 64 km ::BMKG","-"
"16","04-Jan-26 08:37:30","3.0","32","3.39","97.09","21 km Barat Laut KAB-ACEHSELATAN","","Info Gempa Mag:3.0, 4-Jan-26 08:37:30 WIB, Lok: 3.39 LU - 97.09 BT (21 km Barat Laut KAB-ACEHSELATAN), Kedlmn: 32 km ::BMKG","-"
"17","04-Jan-26 22:17:18","2.6","13","3.48","96.71","49 km Barat Daya BLANGPIDIE-ACEHBARATDAYA","","Info Gempa Mag:2.6, 4-Jan-26 22:17:18 WIB, Lok: 3.48 LU - 96.71 BT (49 km Barat Daya BLANGPIDIE-ACEHBARATDAYA), Kedlmn: 13 km ::BMKG","-"
"18","05-Jan-26 08:51:04","1.9","3","4.92","96.2","12 km Barat Daya KAB-PIDIEJAYA-ACEH","","Info Gempa Mag:1.9, 5-Jan-26 08:51:04 WIB, Lok: 4.92 LU - 96.20 BT (12 km Barat Daya KAB-PIDIEJAYA-ACEH), Kedlmn: 003 km ::BMKG","-"
"19","05-Jan-26 13:56:28","3.0","5","5.14","95.83","28 km Tenggara JANTHO-ACEHBESAR","","Info Gempa Mag:3.0, 5-Jan-26 13:56:28 WIB, Lok: 5.14 LU - 95.83 BT (28 km Tenggara JANTHO-ACEHBESAR), Kedlmn: 005 km ::BMKG","-"
"20","05-Jan-26 17:20:36","2.4","10","4.19","97.41","27 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.4, 5-Jan-26 17:20:36 WIB, Lok: 4.19 LU - 97.41 BT (27 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 10 km ::BMKG","-"
"21","05-Jan-26 17:22:55","2.3","10","4.2","97.44","25 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.3, 5-Jan-26 17:22:55 WIB, Lok: 4.20 LU - 97.44 BT (25 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 10 km ::BMKG","-"
"22","05-Jan-26 18:01:10","2.0","10","4.18","97.41","22 km Utara KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.0, 5-Jan-26 18:01:10 WIB, Lok: 4.18 LU - 97.41 BT (22 km Utara KAB-GAYOLUES-ACEH), Kedlmn: 10 km ::BMKG","-"
